Freq[Hz]      Mag   Phase[Deg]
30245.4    -15.476     0.000
30685.3    -15.422     0.000
31131.7    -15.367     0.000
31584.5    -15.338     0.000
32043.9    -15.352     0.000
32510.0    -15.391     0.000
32982.8    -15.403     0.000
33462.6    -15.383     0.000
33949.3    -15.342     0.000
34443.1    -15.314     0.000
34944.1    -15.287     0.000
35452.4    -15.265     0.000
35968.0    -15.252     0.000
36491.2    -15.259     0.000
37022.0    -15.261     0.000
37560.5    -15.238     0.000
38106.8    -15.203     0.000
38661.1    -15.187     0.000
39223.4    -15.203     0.000
39793.9    -15.211     0.000
